row	column	plant	year	circ	ar	round	solidity	column_row	irrigation	rootstock	block	rootstock_irr
10	A	1	2014	0.24775	1.167	0.86	0.78375	A_10	full	3309C	B1	3309C_full
10	A	2	2014	0.285	1.2115	0.82825	0.8055	A_10	full	3309C	B1	3309C_full
10	A	3	2014	0.27525	1.15025	0.8705	0.79875	A_10	full	3309C	B1	3309C_full
10	A	4	2014	0.26325	1.18425	0.845	0.803	A_10	full	3309C	B1	3309C_full
10	B	1	2014	0.26025	1.17025	0.85675	0.80025	B_10	full	SO4	B1	SO4_full
10	B	3	2014	0.26525	1.177	0.854	0.7885	B_10	full	SO4	B1	SO4_full
10	B	4	2014	0.25775	1.179	0.85225	0.786	B_10	full	SO4	B1	SO4_full
10	C	1	2014	0.239	1.18475	0.84525	0.7945	C_10	full	OWN	B1	OWN_full
10	C	2	2014	0.287	1.14775	0.87475	0.796	C_10	full	OWN	B1	OWN_full
10	C	3	2014	0.286	1.1745	0.85175	0.7925	C_10	full	OWN	B1	OWN_full
10	C	4	2014	0.28375	1.19875	0.83525	0.79025	C_10	full	OWN	B1	OWN_full
10	D	1	2014	0.25775	1.16575	0.8585	0.78775	D_10	full	1103P	B1	1103P_full
10	D	2	2014	0.2835	1.15	0.87025	0.809	D_10	full	1103P	B1	1103P_full
10	D	3	2014	0.27725	1.1495	0.8715	0.795	D_10	full	1103P	B1	1103P_full
10	D	4	2014	0.3025	1.19675	0.836	0.8085	D_10	full	1103P	B1	1103P_full
10	E	1	2014	0.287	1.18875	0.8455	0.805	E_10	full	1103P	B4	1103P_full
10	E	2	2014	0.30825	1.155	0.869	0.79375	E_10	full	1103P	B4	1103P_full
10	E	3	2014	0.263	1.1835	0.84825	0.78675	E_10	full	1103P	B4	1103P_full
10	E	4	2014	0.27275	1.187	0.84625	0.78875	E_10	full	1103P	B4	1103P_full
10	F	1	2014	0.25875	1.18125	0.84775	0.7935	F_10	full	SO4	B4	SO4_full
10	F	2	2014	0.266	1.175	0.85125	0.7745	F_10	full	SO4	B4	SO4_full
10	F	3	2014	0.261	1.163	0.861	0.7955	F_10	full	SO4	B4	SO4_full
10	F	4	2014	0.28125	1.1595	0.86375	0.78825	F_10	full	SO4	B4	SO4_full
10	G	1	2014	0.2575	1.13275	0.885	0.7825	G_10	full	3309C	B4	3309C_full
10	G	2	2014	0.29925	1.128	0.88875	0.811	G_10	full	3309C	B4	3309C_full
10	G	3	2014	0.26275	1.18675	0.84425	0.77425	G_10	full	3309C	B4	3309C_full
10	G	4	2014	0.2555	1.1685	0.857	0.773	G_10	full	3309C	B4	3309C_full
10	H	1	2014	0.2985	1.14525	0.87725	0.80625	H_10	full	OWN	B4	OWN_full
10	H	2	2014	0.27275	1.18175	0.84875	0.792	H_10	full	OWN	B4	OWN_full
10	H	3	2014	0.26975	1.14925	0.87125	0.77325	H_10	full	OWN	B4	OWN_full
10	H	4	2014	0.26925	1.18925	0.841	0.7925	H_10	full	OWN	B4	OWN_full
11	A	1	2014	0.274	1.172	0.86075	0.79175	A_11	RDI	3309C	B2	3309C_RDI
11	A	2	2014	0.2555	1.13675	0.88125	0.79625	A_11	RDI	3309C	B2	3309C_RDI
11	A	3	2014	0.2655	1.16675	0.86	0.78675	A_11	RDI	3309C	B2	3309C_RDI
11	A	4	2014	0.2605	1.193	0.83925	0.78475	A_11	RDI	3309C	B2	3309C_RDI
11	B	1	2014	0.24925	1.1835	0.8465	0.78975	B_11	RDI	1103P	B2	1103P_RDI
11	B	2	2014	0.3005	1.21425	0.824	0.81025	B_11	RDI	1103P	B2	1103P_RDI
11	B	3	2014	0.26975	1.17475	0.85175	0.79025	B_11	RDI	1103P	B2	1103P_RDI
11	B	4	2014	0.25	1.138	0.88075	0.78925	B_11	RDI	1103P	B2	1103P_RDI
11	C	1	2014	0.26325	1.15925	0.864	0.78025	C_11	RDI	OWN	B2	OWN_RDI
11	C	2	2014	0.262	1.14825	0.87075	0.78925	C_11	RDI	OWN	B2	OWN_RDI
11	C	3	2014	0.24775	1.19025	0.84325	0.795	C_11	RDI	OWN	B2	OWN_RDI
11	C	4	2014	0.269	1.183	0.84575	0.79175	C_11	RDI	OWN	B2	OWN_RDI
11	D	1	2014	0.257	1.2095	0.827	0.789	D_11	RDI	SO4	B2	SO4_RDI
11	D	2	2014	0.279	1.198	0.83575	0.80775	D_11	RDI	SO4	B2	SO4_RDI
11	D	3	2014	0.2625	1.16075	0.8625	0.78175	D_11	RDI	SO4	B2	SO4_RDI
11	D	4	2014	0.2595	1.23375	0.81125	0.78875	D_11	RDI	SO4	B2	SO4_RDI
11	E	1	2014	0.2765	1.13825	0.87875	0.79575	E_11	RDI	1103P	B5	1103P_RDI
11	E	2	2014	0.27875	1.1545	0.86825	0.79625	E_11	RDI	1103P	B5	1103P_RDI
11	E	3	2014	0.278	1.14525	0.8735	0.783	E_11	RDI	1103P	B5	1103P_RDI
11	E	4	2014	0.29	1.20675	0.836	0.7855	E_11	RDI	1103P	B5	1103P_RDI
11	F	1	2014	0.261	1.15425	0.871	0.77725	F_11	RDI	OWN	B5	OWN_RDI
11	F	2	2014	0.28025	1.19175	0.84075	0.794	F_11	RDI	OWN	B5	OWN_RDI
11	F	4	2014	0.27075	1.153	0.868	0.79225	F_11	RDI	OWN	B5	OWN_RDI
11	G	1	2014	0.28225	1.1905	0.84125	0.8005	G_11	RDI	SO4	B5	SO4_RDI
11	G	2	2014	0.278	1.189	0.84125	0.79125	G_11	RDI	SO4	B5	SO4_RDI
11	G	4	2014	0.26675	1.174	0.85225	0.78925	G_11	RDI	SO4	B5	SO4_RDI
11	H	1	2014	0.26075	1.16925	0.85675	0.784	H_11	RDI	3309C	B5	3309C_RDI
11	H	2	2014	0.2565	1.11775	0.89675	0.77725	H_11	RDI	3309C	B5	3309C_RDI
11	H	3	2014	0.272	1.16025	0.86425	0.7945	H_11	RDI	3309C	B5	3309C_RDI
11	H	4	2014	0.2765	1.102	0.90825	0.79875	H_11	RDI	3309C	B5	3309C_RDI
12	A	1	2014	0.23475	1.15125	0.87075	0.77575	A_12	full	1103P	B2	1103P_full
12	A	2	2014	0.29525	1.188	0.8425	0.80425	A_12	full	1103P	B2	1103P_full
12	A	3	2014	0.291	1.162	0.86275	0.79575	A_12	full	1103P	B2	1103P_full
12	A	4	2014	0.285	1.163	0.862	0.78375	A_12	full	1103P	B2	1103P_full
12	B	1	2014	0.27275	1.11225	0.90225	0.793	B_12	full	OWN	B2	OWN_full
12	B	2	2014	0.24625	1.17125	0.85675	0.7545	B_12	full	OWN	B2	OWN_full
12	B	3	2014	0.2715	1.16075	0.8625	0.79875	B_12	full	OWN	B2	OWN_full
12	B	4	2014	0.266	1.1755	0.85125	0.78725	B_12	full	OWN	B2	OWN_full
12	C	1	2014	0.27075	1.12625	0.88825	0.7855	C_12	full	SO4	B2	SO4_full
12	C	2	2014	0.26725	1.15325	0.8695	0.79125	C_12	full	SO4	B2	SO4_full
12	C	3	2014	0.2525	1.1665	0.8595	0.78875	C_12	full	SO4	B2	SO4_full
12	D	1	2014	0.262	1.144	0.8755	0.8045	D_12	full	3309C	B2	3309C_full
12	D	2	2014	0.29025	1.19275	0.84325	0.78925	D_12	full	3309C	B2	3309C_full
12	D	3	2014	0.27625	1.174	0.85275	0.7835	D_12	full	3309C	B2	3309C_full
12	E	1	2014	0.26225	1.09625	0.9155	0.79	E_12	full	3309C	B5	3309C_full
12	E	2	2014	0.2525	1.18575	0.846	0.78175	E_12	full	3309C	B5	3309C_full
12	E	3	2014	0.27375	1.19675	0.837	0.78275	E_12	full	3309C	B5	3309C_full
12	E	4	2014	0.257	1.14325	0.8755	0.78825	E_12	full	3309C	B5	3309C_full
12	F	1	2014	0.2685	1.13725	0.8805	0.7825	F_12	full	SO4	B5	SO4_full
12	F	2	2014	0.2625	1.16275	0.86225	0.77775	F_12	full	SO4	B5	SO4_full
12	F	3	2014	0.27475	1.158	0.86425	0.79275	F_12	full	SO4	B5	SO4_full
12	F	4	2014	0.24925	1.141	0.877	0.777	F_12	full	SO4	B5	SO4_full
12	G	1	2014	0.279	1.13325	0.88475	0.80975	G_12	full	1103P	B5	1103P_full
12	G	2	2014	0.27275	1.1355	0.88275	0.79375	G_12	full	1103P	B5	1103P_full
12	G	3	2014	0.28225	1.15825	0.86475	0.7875	G_12	full	1103P	B5	1103P_full
12	G	4	2014	0.26125	1.14825	0.874	0.79475	G_12	full	1103P	B5	1103P_full
12	H	1	2014	0.28975	1.07875	0.9285	0.8	H_12	full	OWN	B5	OWN_full
12	H	2	2014	0.27175	1.1825	0.8465	0.79225	H_12	full	OWN	B5	OWN_full
12	H	3	2014	0.26775	1.14	0.8785	0.785	H_12	full	OWN	B5	OWN_full
12	H	4	2014	0.2755	1.14025	0.88125	0.80525	H_12	full	OWN	B5	OWN_full
13	A	1	2014	0.29125	1.16175	0.86125	0.809	A_13	none	SO4	B2	SO4_none
13	A	2	2014	0.288	1.15275	0.873	0.8035	A_13	none	SO4	B2	SO4_none
13	A	3	2014	0.2705	1.15825	0.86375	0.79	A_13	none	SO4	B2	SO4_none
13	A	4	2014	0.26875	1.1465	0.8725	0.7945	A_13	none	SO4	B2	SO4_none
13	B	1	2014	0.27025	1.17625	0.852	0.7985	B_13	none	3309C	B2	3309C_none
13	B	2	2014	0.264	1.168	0.858	0.78175	B_13	none	3309C	B2	3309C_none
13	B	3	2014	0.2505	1.175	0.853	0.78625	B_13	none	3309C	B2	3309C_none
13	B	4	2014	0.25175	1.1675	0.859	0.78075	B_13	none	3309C	B2	3309C_none
13	C	1	2014	0.2575	1.11625	0.89975	0.78675	C_13	none	1103P	B2	1103P_none
13	C	2	2014	0.28425	1.1805	0.85	0.77875	C_13	none	1103P	B2	1103P_none
13	C	3	2014	0.2615	1.135	0.8815	0.781	C_13	none	1103P	B2	1103P_none
13	C	4	2014	0.2485	1.1445	0.87675	0.78775	C_13	none	1103P	B2	1103P_none
13	D	1	2014	0.2755	1.14575	0.87375	0.79125	D_13	none	OWN	B2	OWN_none
13	D	2	2014	0.2535	1.12775	0.88825	0.80125	D_13	none	OWN	B2	OWN_none
13	D	3	2014	0.27225	1.1815	0.84675	0.78875	D_13	none	OWN	B2	OWN_none
13	D	4	2014	0.26725	1.1375	0.87975	0.7885	D_13	none	OWN	B2	OWN_none
13	E	1	2014	0.27875	1.1835	0.84775	0.7905	E_13	none	OWN	B5	OWN_none
13	E	2	2014	0.28125	1.14525	0.87675	0.791	E_13	none	OWN	B5	OWN_none
13	E	3	2014	0.259	1.17	0.856	0.7845	E_13	none	OWN	B5	OWN_none
13	E	4	2014	0.2945	1.13575	0.88175	0.804	E_13	none	OWN	B5	OWN_none
13	F	1	2014	0.26475	1.14925	0.872	0.7875	F_13	none	1103P	B5	1103P_none
13	F	2	2014	0.27325	1.18275	0.85025	0.7855	F_13	none	1103P	B5	1103P_none
13	F	3	2014	0.2615	1.16475	0.85875	0.7795	F_13	none	1103P	B5	1103P_none
13	F	4	2014	0.2565	1.16375	0.85975	0.7875	F_13	none	1103P	B5	1103P_none
13	G	1	2014	0.25625	1.1635	0.86	0.78475	G_13	none	3309C	B5	3309C_none
13	G	2	2014	0.2535	1.202	0.8335	0.77825	G_13	none	3309C	B5	3309C_none
13	G	3	2014	0.3	1.15375	0.86725	0.80525	G_13	none	3309C	B5	3309C_none
13	G	4	2014	0.2925	1.19425	0.83925	0.80525	G_13	none	3309C	B5	3309C_none
13	H	1	2014	0.23025	1.16025	0.86225	0.7675	H_13	none	SO4	B5	SO4_none
13	H	2	2014	0.271	1.1635	0.85975	0.7865	H_13	none	SO4	B5	SO4_none
13	H	3	2014	0.2795	1.1455	0.87675	0.81075	H_13	none	SO4	B5	SO4_none
13	H	4	2014	0.267	1.1295	0.8865	0.78325	H_13	none	SO4	B5	SO4_none
14	A	1	2014	0.25025	1.13275	0.88325	0.78475	A_14	RDI	3309C	B3	3309C_RDI
14	A	2	2014	0.24975	1.1945	0.83825	0.77325	A_14	RDI	3309C	B3	3309C_RDI
14	A	3	2014	0.2565	1.1475	0.872	0.79925	A_14	RDI	3309C	B3	3309C_RDI
14	A	4	2014	0.2865	1.163	0.86	0.809	A_14	RDI	3309C	B3	3309C_RDI
14	B	1	2014	0.24675	1.1355	0.89025	0.7905	B_14	RDI	SO4	B3	SO4_RDI
14	B	2	2014	0.29025	1.2595	0.797	0.81825	B_14	RDI	SO4	B3	SO4_RDI
14	B	3	2014	0.28425	1.20225	0.8345	0.809	B_14	RDI	SO4	B3	SO4_RDI
14	B	4	2014	0.27875	1.20825	0.8295	0.8195	B_14	RDI	SO4	B3	SO4_RDI
14	C	1	2014	0.25275	1.1675	0.85675	0.79375	C_14	RDI	OWN	B3	OWN_RDI
14	C	2	2014	0.262	1.1355	0.8825	0.798	C_14	RDI	OWN	B3	OWN_RDI
14	C	3	2014	0.2605	1.1635	0.861	0.78875	C_14	RDI	OWN	B3	OWN_RDI
14	C	4	2014	0.27675	1.1915	0.8415	0.79875	C_14	RDI	OWN	B3	OWN_RDI
14	D	1	2014	0.27625	1.151	0.8695	0.7865	D_14	RDI	1103P	B3	1103P_RDI
