	Time	Replicate	Own	C3309	P1103	SO4
A10115	1	1	1	0	0	0
B10515	1	2	0	1	0	0
B20715	1	2	0	1	0	0
C10915	1	3	0	0	1	0
D11315	1	4	0	0	0	1
D21515	1	4	0	0	0	1
E21915	2	5	0	1	0	0
F12115	2	6	0	0	0	1
G12515	2	7	1	0	0	0
G22715	2	7	1	0	0	0
H12915	2	8	0	0	1	0
H23115	2	8	0	0	1	0
A13313	3	9	0	0	0	1
A23513	3	9	0	0	0	1
B13713	3	10	0	1	0	0
B23913	3	10	0	1	0	0
C14113	3	11	0	0	1	0
C24313	3	11	0	0	1	0
D14513	3	12	1	0	0	0
D24713	3	12	1	0	0	0
E14913	4	13	1	0	0	0
E25113	4	13	1	0	0	0
F15313	4	14	0	0	1	0
F25513	4	14	0	0	1	0
G15713	4	15	0	1	0	0
G25913	4	15	0	1	0	0
H16113	4	16	0	0	0	1
H26313	4	16	0	0	0	1
